Date,AUM
11/17/2021,155.4182553
11/18/2021,153.8061804
11/22/2021,151.5683413
11/23/2021,152.9854401
11/24/2021,152.9218785
11/25/2021,153.8450116
11/26/2021,149.5877206
11/29/2021,149.3066302
11/30/2021,149.1549136
12/1/2021,149.907849
12/2/2021,152.1577721
12/3/2021,150.6434073
12/6/2021,146.8685357
12/7/2021,148.8587946
12/8/2021,151.3363158
12/9/2021,151.8793267
12/10/2021,152.2236481
12/13/2021,151.1526375
12/14/2021,151.3792766
12/15/2021,150.2050992
12/16/2021,150.4653988
12/17/2021,147.567408
12/20/2021,144.3423738
12/21/2021,146.0567174
12/22/2021,148.2226608
12/23/2021,149.2932801
12/24/2021,149.2025317
12/27/2021,150.3589269
12/28/2021,152.0833987
12/29/2021,151.8202032
12/30/2021,151.6054619
12/31/2021,152.9910222
1/3/2022,153.9129643
1/4/2022,154.2997539
1/5/2022,154.1893646
1/6/2022,153.1296993
1/7/2022,153.6437524
1/10/2022,154.7062198
1/11/2022,155.7209302
1/12/2022,155.9999301
1/13/2022,156.2923935
1/14/2022,156.3126357
1/17/2022,156.8003252
1/18/2022,153.5944523
1/19/2022,152.1358023
1/20/2022,151.1775544
1/21/2022,149.1199344
1/24/2022,144.4274853
1/25/2022,145.3652832
1/27/2022,142.9068032
1/28/2022,143.8707153
1/31/2022,146.0848517
2/1/2022,148.0337665
2/2/2022,150.247769
2/3/2022,148.8454812
2/4/2022,148.7692744
2/7/2022,145.9177149
2/8/2022,146.1677546
2/9/2022,148.8114756
2/10/2022,149.7492088
2/11/2022,147.6363236
2/14/2022,143.649644
2/15/2022,147.6183131
2/16/2022,147.8088664
2/17/2022,147.4577231
2/18/2022,146.4667428
2/21/2022,145.3765765
2/22/2022,145.0511453
2/23/2022,145.2172039
2/24/2022,137.739543
2/25/2022,142.4651575
2/28/2022,144.4845345
3/2/2022,143.8231442
3/3/2022,144.0847401
3/4/2022,141.9705189
3/7/2022,140.1824817
3/8/2022,142.2564246
3/9/2022,144.197269
3/10/2022,146.5880288
3/11/2022,147.5752766
3/14/2022,149.2319968
3/15/2022,147.4402531
3/16/2022,150.1378877
3/17/2022,151.7655954
3/21/2022,150.4594157
3/22/2022,151.3472126
3/23/2022,150.8709872
3/24/2022,151.288114
3/25/2022,150.9574222
3/28/2022,151.3742243
3/29/2022,152.3429731
3/30/2022,153.3015855
3/31/2022,152.4530042
4/1/2022,153.6809467
4/4/2022,155.6025365
4/5/2022,156.0976938
4/6/2022,155.533602
4/7/2022,154.4265763
4/8/2022,156.1366731
4/11/2022,155.7142593
4/12/2022,154.4316056
4/13/2022,154.7947974
4/18/2022,153.0666827
4/19/2022,151.0544339
4/20/2022,152.3451584
4/21/2022,154.9215238
4/22/2022,153.005476
4/25/2022,150.6408619
4/26/2022,153.4314896
4/27/2022,151.4383879
4/28/2022,153.2023843
4/29/2022,151.1479805
5/2/2022,150.1344207
5/4/2022,146.2187519
5/5/2022,146.4046613
5/6/2022,143.6717914
5/9/2022,142.9890613
5/10/2022,141.221181
5/11/2022,140.8213548
5/12/2022,137.8752568
5/13/2022,138.0062112
5/16/2022,138.9554825
5/17/2022,142.7947445
5/18/2022,142.6466875
5/19/2022,138.1591696
5/20/2022,142.0559621
5/23/2022,140.1892748
5/24/2022,138.2229287
5/25/2022,135.7064928
5/26/2022,136.4874092
5/27/2022,138.6961226
5/30/2022,141.7027084
5/31/2022,142.331656
6/1/2022,140.8524888
6/2/2022,141.2498436
6/3/2022,139.9826943
6/6/2022,140.6168891
6/7/2022,139.7820241
6/8/2022,139.2167282
6/9/2022,140.3729306
6/10/2022,139.1469481
6/13/2022,135.2230789
6/14/2022,136.637138
6/15/2022,136.5723964
6/16/2022,134.4787132
6/17/2022,133.0916576
6/20/2022,133.7147379
6/21/2022,136.6307737
6/22/2022,134.2100151
6/23/2022,136.1292146
6/24/2022,137.183315
6/27/2022,138.2863395
6/28/2022,138.8757118
6/29/2022,138.065574
6/30/2022,137.1161504
7/1/2022,138.469011
7/4/2022,139.0112087
7/5/2022,138.717017
7/6/2022,140.3666065
7/7/2022,141.4264686
7/8/2022,142.1204298
7/11/2022,142.9449679
7/12/2022,141.63931
7/13/2022,141.7490449
7/14/2022,141.6756962
7/15/2022,142.4550813
7/18/2022,144.297829
7/19/2022,145.003437
7/20/2022,146.234194
7/21/2022,147.6235362
7/22/2022,147.717871
7/25/2022,148.0041432
7/26/2022,146.4029325
7/27/2022,147.7439588
7/28/2022,149.7520622
7/29/2022,151.7022056
8/1/2022,153.8704643
8/2/2022,154.3446314
8/3/2022,154.7655012
8/4/2022,155.941645
8/5/2022,155.8205
8/8/2022,157.2320257
8/10/2022,157.9081829
8/11/2022,158.3474065
8/12/2022,157.6032069
8/16/2022,159.581084
8/17/2022,160.4710614
8/18/2022,161.459952
8/19/2022,159.8070059
8/22/2022,156.6674947
8/23/2022,157.0668143
8/24/2022,158.3371403
8/25/2022,157.2081523
8/26/2022,158.5696305
8/29/2022,157.1736852
8/30/2022,160.387726
9/1/2022,159.5105729
