Date,CIPLA.NS,KOTAKBANK.NS,APOLLOHOSP.NS,INFY.NS,TECHM.NS,DRREDDY.NS,POWERGRID.NS,ASIANPAINT.NS,DIVISLAB.NS,WIPRO.NS,HINDUNILVR.NS,BHARTIARTL.NS,HDFCBANK.NS,ULTRACEMCO.NS,ITC.NS,TCS.NS,ICICIBANK.NS,SUNPHARMA.NS,GRASIM.NS,BPCL.NS,TATAMOTORS.NS,NESTLEIND.NS,SBILIFE.NS,HDFC.NS,TATACONSUM.NS,INDUSINDBK.NS,EICHERMOT.NS,BRITANNIA.NS,AXISBANK.NS,NTPC.NS,BAJAJ-AUTO.NS,MARUTI.NS,JSWSTEEL.NS,TITAN.NS,SBIN.NS,M&M.NS,HDFCLIFE.NS,LT.NS,HCLTECH.NS,UPL.NS,RELIANCE.NS,ONGC.NS,COALINDIA.NS,HEROMOTOCO.NS,ADANIENT.NS,ADANIPORTS.NS,HINDALCO.NS,TATASTEEL.NS,BAJFINANCE.NS,BAJAJFINSV.NS
1/14/2015,610.6768799,692.7442017,1125.363159,434.8754883,571.6121216,2981.207031,72.76182556,798.1793213,795.5256958,194.7402191,807.8186035,304.8502197,457.0947266,2830.925537,182.2195587,1065.876587,284.2542419,772.9765015,528.4414673,137.0754242,514.6195068,6061.791992,,730.0869141,139.5872192,786.0772095,1311.062622,847.5380859,484.9044189,79.01409912,1894.751099,3257.946289,80.56349945,355.29776,287.1644287,573.9663086,,881.5349121,328.7861938,219.444458,393.0620422,151.1210327,178.4776917,2247.826416,70.92242432,317.8149109,134.178421,13.59894466,369.6846924,124.8879395
1/15/2015,617.1085815,697.3253784,1113.096558,436.0195618,569.6155396,3011.221924,76.45206451,795.0535889,791.0007324,197.404007,805.6329956,307.9798584,470.9654846,3000.45874,187.5111542,1073.125122,297.711792,777.9215088,543.4570313,139.4416351,527.0808105,6086.150391,,730.0869141,140.3083496,799.2644043,1337.021118,842.3552246,498.9293823,79.84580994,1938.443115,3359.6875,80.7881546,359.4091492,301.8666077,593.06073,,913.8809814,331.7955017,222.0787659,406.8554077,152.1972198,181.0575867,2284.60498,72.30089569,317.1913147,133.9424591,13.88402367,378.1334839,128.3581696
1/16/2015,626.1032104,694.81073,1149.847656,432.7610474,576.8131104,3053.269287,78.8052597,798.9368896,798.7213135,195.8339691,822.6802368,302.2496033,474.8540039,2987.855957,188.6638031,1070.1875,298.5555115,800.3860474,538.7678223,138.6739655,519.960083,6243.55127,,730.0869141,139.0914001,800.7080688,1356.682251,839.9818115,499.6572876,80.53413391,1940.206665,3351.163086,81.57861328,370.2134399,297.2957764,605.3571777,,924.3630981,341.322876,226.7653809,409.4210205,152.4607544,186.2664185,2243.683105,72.21430206,317.4312134,130.7803192,13.83530617,385.7349854,126.2272415
1/19/2015,636.2103271,691.8727417,1163.859375,429.5331116,573.3935547,3088.672852,79.07266235,787.9967041,798.7213135,206.1187286,780.2807617,308.9495544,476.371521,3005.762695,187.9826965,1061.248657,304.4194641,812.8662109,541.1384888,135.7082214,532.5696411,6322.87793,,730.0869141,141.1196594,798.1091919,1367.72168,831.2496338,513.3911133,81.3085022,1927.179199,3360.104004,81.26242828,377.1932068,295.1281128,618.1640625,,937.7778931,342.4994812,227.3167725,414.1051331,152.6364441,186.3401794,2200.013428,73.08034515,315.0325623,132.3849792,13.88402367,382.2036438,125.2613449
1/20/2015,640.0790405,694.9849854,1173.992676,433.9663086,573.7108765,3072.22583,78.83198547,794.911438,790.5108643,208.3062134,782.8161011,312.8725891,484.1486206,3013.5,194.4269104,1056.789795,310.2834473,821.6259155,546.9238892,136.2235565,553.041687,6323.371094,,730.0869141,140.9393616,808.9862061,1369.144653,836.5193481,535.1807251,81.93946075,1927.460083,3340.923828,83.62961578,376.3326416,299.8403931,614.9390869,,946.3144531,348.2264099,227.5005341,425.1208801,153.866333,187.8635101,2190.218262,73.10921478,317.0953674,136.585434,14.5065012,382.4975281,131.6342163
1/21/2015,622.3312988,691.2254028,1187.762207,443.3027039,572.6256104,3099.777588,78.56458282,806.3728638,783.3733521,207.7064209,823.4671631,325.3028564,483.674408,2972.96582,184.7867584,1062.431763,310.874054,834.4829712,560.5097046,137.5907288,545.4265137,6328.283203,,730.0869141,142.4267426,811.0075684,1358.684326,834.0369873,531.152771,82.31231689,1961.451538,3367.934326,83.20111084,389.0970154,307.427124,614.8463135,,960.8322754,351.3710022,223.1815033,426.8627319,151.9995422,192.5564423,2226.223389,73.05869293,315.9920349,135.1695557,14.3296814,373.940979,128.7166443
1/22/2015,633.3087769,690.9764404,1204.052612,448.7268066,564.7626953,3123.380127,79.34007263,821.3864746,772.5271606,211.5673523,825.8275757,326.1844482,484.290863,3038.803223,183.712738,1062.326294,312.013092,866.6020508,564.3840942,138.2007141,560.2612915,6343.524902,,730.0869141,143.1929626,814.5690918,1353.611206,827.9832764,548.1380615,80.41941071,1959.567627,3333.23291,82.64363861,382.2128601,305.9662476,617.1199951,,965.9136963,346.8831787,220.7616272,416.0352783,155.0083313,194.7923279,2198.116211,74.85575104,316.0399475,135.4055481,14.557024,376.2184753,129.2692719
1/23/2015,655.4089355,689.8063965,1254.864014,452.5266113,569.4005127,3112.554443,79.98186493,816.6027222,783.0001831,214.1472015,843.8799438,338.6147156,494.5102234,3063.571777,183.0840302,1058.121216,312.7724304,872.9599609,561.9616089,141.9236298,581.9695435,6487.700684,,730.0869141,145.2662506,825.253479,1338.673828,833.862793,548.5263062,81.39453888,1957.323242,3341.989014,84.47831726,381.3523254,308.6051941,631.9453125,,993.7886353,342.9159851,219.3525696,417.5181885,153.2074738,193.9569244,2216.660889,81.38722992,332.8301392,136.6798401,14.54619503,379.1082153,130.6633606
1/27/2015,683.8438721,691.3249512,1308.244995,436.479248,576.7515869,2985.063232,80.19577789,843.5040894,787.6884766,212.9906921,823.4671631,347.5186768,509.3294373,3037.830078,188.6900024,1059.582153,323.5722656,860.9035034,570.3991089,145.562439,597.8922729,6569.663574,,730.0869141,143.6887207,830.9326782,1422.047363,833.7321167,574.6834717,82.11154938,1939.966797,3417.229492,84.57816315,383.0733643,311.0555115,614.5678711,,1011.616333,336.6058655,214.8190765,418.530304,153.8443756,188.0355072,2212.750244,81.01914215,331.151123,134.5088196,14.37658978,408.4364929,136.9565277
1/28/2015,680.4587402,672.8014526,1378.401367,438.1237488,588.3617554,3009.827881,79.92836761,862.211792,811.3168945,216.0865631,816.3859863,329.3581238,501.8841858,3055.640137,189.8164368,1075.483643,324.0363464,856.9004517,577.0215454,148.5491638,582.7113037,6528.547852,,730.0869141,143.1027985,836.2266846,1444.2323,833.4708862,573.2276001,81.93946075,1923.091309,3452.3479,82.793396,414.2431946,315.3436279,610.7861938,,986.2678833,345.5711975,217.0245667,426.9098206,155.4475708,188.6006317,2218.442139,80.42735291,325.490448,132.2906036,14.11497211,423.4288025,144.4247131
