Date,CIPLA.NS,KOTAKBANK.NS,APOLLOHOSP.NS,INFY.NS,TECHM.NS,DRREDDY.NS,POWERGRID.NS,ASIANPAINT.NS,DIVISLAB.NS,WIPRO.NS,HINDUNILVR.NS,BHARTIARTL.NS,HDFCBANK.NS,ULTRACEMCO.NS,ITC.NS,TCS.NS,ICICIBANK.NS,SUNPHARMA.NS,GRASIM.NS,BPCL.NS,TATAMOTORS.NS,NESTLEIND.NS,SBILIFE.NS,HDFC.NS,TATACONSUM.NS,INDUSINDBK.NS,EICHERMOT.NS,BRITANNIA.NS,AXISBANK.NS,NTPC.NS,BAJAJ-AUTO.NS,MARUTI.NS,JSWSTEEL.NS,TITAN.NS,SBIN.NS,M&M.NS,HDFCLIFE.NS,LT.NS,HCLTECH.NS,UPL.NS,RELIANCE.NS,ONGC.NS,COALINDIA.NS,HEROMOTOCO.NS,ADANIENT.NS,ADANIPORTS.NS,HINDALCO.NS,TATASTEEL.NS,BAJFINANCE.NS,BAJAJFINSV.NS
1/1/2015,100.3192896,99.58064702,99.66362504,100.0937978,100.0385472,98.9002521,99.34783184,99.58129186,101.288261,99.49568616,99.78294336,102.8919707,100.0472849,99.49365674,99.57959034,99.50357551,99.77346599,99.47371705,100.5155043,101.2693714,100.5852103,98.95225088,100,100,99.83436106,101.1900929,101.2427892,99.53263711,100.1293809,98.9236065,100.8098613,100.3288535,101.732277,99.51524884,100.6894266,100.2106265,100,100.5553023,100.6199586,98.5716524,99.63531858,100.7909816,99.01001809,99.95975771,100.7608472,100.1567204,100.57126,101.2643861,100.4520802,98.39026589
1/2/2015,100.5986441,100.6052644,99.83623645,102.0607791,100.5282134,99.23602246,100.5434717,103.0240603,101.7205867,100.3782471,99.45403793,103.5015406,101.4396817,102.4681867,99.89150489,100.82868,102.6055048,99.96370976,103.2687876,99.75233585,103.279185,99.16442052,100,100,101.0268246,101.6761166,100.0461107,102.0895649,102.3686353,100.2777739,100.7934231,100.8949547,102.0424645,100.3013146,101.0902734,99.20612553,100,102.6762152,100.5228876,101.6448022,99.37160616,102.2996811,99.45293305,99.72479954,101.2543908,100.0940422,101.6185324,102.8417653,98.84613847,97.55287979
1/5/2015,101.0536366,100.2017386,100.1681875,101.1837556,98.85098634,96.98724484,100.6521785,103.0174223,101.1083594,100.5583658,100.0263157,101.2049771,100.5832305,102.6774585,100.284773,99.29641397,102.8178926,100.0242013,103.6572718,99.94583821,105.7007392,99.21769822,100,100,101.3249321,102.0748872,100.5011798,102.1601968,103.0155211,100,101.1613552,103.5437603,101.7990945,101.1135904,100.2885902,98.70386971,100,104.1046406,98.83210152,99.75473218,98.28313411,103.4568796,99.06213858,100.4104004,102.9303067,101.4887938,99.55571288,104.3315102,98.58783502,96.2566645
1/6/2015,98.07629342,99.0070273,97.18508557,99.06973916,97.79067485,94.43503071,98.40579623,100.5582946,97.15072155,98.2078561,101.9208195,100.4111042,99.01745113,99.79635278,97.70816625,95.63569826,98.45652642,97.8222799,99.70458723,98.93965064,101.1805081,97.83788538,100,100,98.14505916,99.49530412,97.88325197,102.2716205,99.33319978,96.66666697,100.3720511,101.9655721,98.08637485,97.65492438,96.16802131,98.15303565,100,100.6322594,96.19262965,94.92138364,93.82260284,97.59781684,98.98397807,97.03057542,102.1488844,100.8776142,97.36592048,99.27391959,98.33234835,94.03128907
1/7/2015,97.69314186,100.6013173,97.94638103,99.54374121,97.33376332,93.62330104,99.81883931,102.5787573,95.7290092,97.46039011,105.4992826,100.6520878,99.30644246,99.40209799,95.89095416,94.50603618,95.79441631,97.97350883,100.9586204,99.83748093,99.65694764,98.24742294,100,100,98.34382365,98.69150463,99.23647589,108.4587771,99.25357979,98.99306614,100.6063929,103.2419446,96.57360254,98.15276381,96.24818236,99.16563477,100,100.3913886,93.90695574,93.21888316,95.86490464,99.03326279,97.6162581,95.73174903,101.2440978,100.6425436,94.50967174,97.37107426,100.3344102,93.95099924
1/8/2015,98.69093575,106.0724768,99.70346273,100.0456191,98.96280072,94.4581217,100.2536353,109.0456033,95.92630495,98.16283225,107.4924176,102.3957915,101.39239,101.9207278,98.29129092,95.52624101,98.39991084,99.06235712,101.1787181,104.8916422,103.3195416,98.67813639,100,100,101.8217816,99.53267232,98.6646963,107.0159346,99.91043533,100.659728,100.7379363,104.3756425,97.55189563,97.70731929,97.75532438,100.255177,100,101.0303424,96.07992159,96.03232625,94.49027129,100.1318523,98.85372133,96.05202288,105.2334235,104.8581825,96.82640626,98.88582445,100.1636327,98.63496151
1/9/2015,100.9498697,107.6785984,99.55299326,105.1659121,103.3467655,97.46165018,100.3260892,108.0021348,98.78136121,99.69382225,113.7481882,100.8789185,102.52733,101.9917474,96.79956416,98.20387365,96.81393716,100.423441,100.5760509,105.1625297,105.3980371,100.0234774,100,100,103.0804963,99.94392005,97.76915258,105.7170671,98.51711676,97.39582694,97.67313302,104.15642,96.67858531,97.70731929,97.22624066,100.3037659,100,100.3746668,96.78437908,95.90246928,96.53820349,102.8270395,97.70743458,96.31760173,104.1846758,103.7925138,98.38145734,100.0626026,99.02696698,97.82435821
1/12/2015,100.694432,108.4737602,99.00415805,107.2697884,106.1864989,98.80013448,98.9130255,107.3707279,99.01638354,100.1531045,117.958174,98.93675889,101.6235804,100.9061758,97.0572193,98.10222912,98.14502295,101.0586103,101.4918567,104.7058997,105.3980371,101.2200824,100,100,104.2398343,103.3646945,98.55821941,104.9942978,99.83080908,97.22223325,95.95262134,103.9972394,95.50942241,98.72919979,98.47682577,99.8825342,100,102.6460906,98.66302108,95.39749471,95.41602903,101.8602819,93.22653662,94.54396702,105.8092027,102.9462635,95.90606571,99.33650235,98.6868427,96.94491413
1/13/2015,101.5964279,110.2104465,101.8058007,105.8984525,106.4602481,99.29609303,98.44205938,110.8400912,100.037719,101.4949631,116.372855,98.18541362,101.2347578,105.3231475,97.66748552,97.64099579,96.5449133,100.7924584,104.7650864,103.6455278,104.8229207,105.1653701,100,100,102.8486399,102.8724678,98.17015871,105.0703752,100.4179893,96.49305482,95.54564685,104.1579155,94.81746029,97.52391621,97.83549581,101.1624788,100,101.6625947,99.16714232,99.48060806,94.61371827,99.58990021,94.09926158,93.1292753,102.1386239,101.2380811,96.28689204,98.02203286,99.97274427,98.37878169
1/14/2015,100.798219,110.0719973,102.7308151,107.91362,107.6343278,98.83093056,98.58695693,112.0098445,98.95835492,99.41464324,121.5695388,98.04364814,101.2925655,108.6993848,94.33142882,98.58108626,95.41207935,99.28619789,105.3692018,100.8823779,105.0045344,106.2178677,100,100,102.5836468,101.7695805,98.3983575,105.757859,99.44267883,95.65974235,97.16333509,105.5919414,92.41230819,97.36668967,97.70722774,100.202507,100,101.5622354,98.8665508,103.3617201,93.69354001,100.7909816,94.62028043,93.4463318,101.0384546,103.8238578,90.22531403,94.35404014,108.3238792,95.91252504
