date,secid,weight
2022-12-31,LTIM.NS,0.01
2022-12-31,LT.NS,0.01
2022-12-31,M&M.NS,0.01
2022-12-31,MARUTI.NS,0.01
2022-12-31,NTPC.NS,0.1
2022-12-31,NESTLEIND.NS,0.01
2022-12-31,ONGC.NS,0.0352816195904758
2022-12-31,POWERGRID.NS,0.0469539325503114
2022-12-31,RELIANCE.NS,0.01
2022-12-31,SBILIFE.NS,0.01
2022-12-31,SBIN.NS,0.0371400246036456
2022-12-31,SUNPHARMA.NS,0.075544311153267
2022-12-31,TCS.NS,0.01
2022-12-31,TATACONSUM.NS,0.01
2022-12-31,TATAMOTORS.NS,0.01
2022-12-31,TATASTEEL.NS,0.01
2022-12-31,TECHM.NS,0.01
2022-12-31,TITAN.NS,0.01
2022-12-31,UPL.NS,0.01
2022-12-31,ULTRACEMCO.NS,0.01
2022-12-31,WIPRO.NS,0.01
