Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BPCL.NS,BHARTIARTL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,ITC.NS,INDUSINDBK.NS,INFY.NS,JSWSTEEL.NS,KOTAKBANK.NS,LTIM.NS,LT.NS,M&M.NS,MARUTI.NS,NTPC.NS,NESTLEIND.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TECHM.NS,TITAN.NS,UPL.NS,ULTRACEMCO.NS,WIPRO.NS
2018-12-31,159.09304809570312,375.45166015625,1240.821044921875,1325.37744140625,617.5599365234375,2230.405517578125,2598.320556640625,646.05126953125,271.9267578125,283.3561096191406,2840.026611328125,505.7593688964844,148.8185272216797,1427.7320556640625,2502.51513671875,2227.210205078125,803.8169555664062,419.020263671875,1023.6452026367188,381.9600830078125,2651.78369140625,218.53472900390625,1674.62939453125,353.1793518066406,233.42755126953125,1553.3856201171875,574.72265625,269.9433898925781,1253.4124755859375,1623.51904296875,1325.883544921875,764.7000122070312,7136.34765625,97.86181640625,10216.3291015625,107.71912384033203,75.26283264160156,1089.801025390625,591.6819458007812,283.1847839355469,409.8908996582031,1698.4638671875,210.16725158691406,172.16342163085938,44.48103332519531,596.4476928710938,914.8189086914062,475.04071044921875,3908.56298828125,242.86639404296875
2019-01-01,155.38746643066406,376.7105407714844,1248.8087158203125,1323.9293212890625,624.9320068359375,2235.735107421875,2609.813720703125,650.5398559570312,275.2625732421875,289.703369140625,2828.7685546875,509.2154541015625,149.28211975097656,1420.7987060546875,2493.476806640625,2230.74462890625,811.5084838867188,417.06494140625,1036.3824462890625,381.22015380859375,2671.730224609375,215.20164489746094,1657.5574951171875,356.70965576171875,234.29776000976562,1549.791748046875,580.0430297851562,267.47943115234375,1247.3773193359375,1606.8729248046875,1329.895751953125,735.6854248046875,7147.1494140625,97.63201904296875,10151.998046875,106.71308898925781,75.7743148803711,1089.5582275390625,592.671630859375,286.7257995605469,412.7948913574219,1707.2117919921875,209.8798828125,172.9110870361328,44.02857971191406,593.107421875,911.8709716796875,472.0648498535156,3926.43603515625,239.78330993652344
2019-01-02,153.01589965820312,369.2538146972656,1241.2647705078125,1335.271240234375,617.7093505859375,2207.323974609375,2567.771728515625,636.7799682617188,268.3285827636719,283.4921875,2841.3486328125,500.9403076171875,146.31503295898438,1416.4171142578125,2487.73779296875,2035.2440185546875,793.9833984375,411.1991882324219,1026.926025390625,385.9064636230469,2602.493896484375,207.27952575683594,1642.37255859375,357.543212890625,232.55728149414062,1531.3370361328125,583.5316162109375,254.05923461914062,1237.5516357421875,1625.72314453125,1314.76953125,705.576904296875,6947.41259765625,96.5158462524414,10170.7548828125,105.6711196899414,73.97468566894531,1075.3675537109375,595.4922485351562,281.2707214355469,418.9837341308594,1725.6043701171875,205.56924438476562,168.0263214111328,42.14194869995117,587.2925415039062,915.948974609375,473.9443359375,3923.400634765625,238.97584533691406
2019-01-03,150.6937255859375,366.1549377441406,1249.0550537109375,1340.097900390625,605.655029296875,2214.990478515625,2540.4140625,636.7100219726562,264.2430725097656,284.2628479003906,2858.715087890625,498.84722900390625,145.26419067382812,1384.6395263671875,2465.070556640625,1943.7978515625,778.6002807617188,412.068115234375,1018.8689575195312,386.054443359375,2575.2431640625,202.11080932617188,1645.86962890625,356.2193603515625,231.10693359375,1515.3109130859375,583.6188354492188,248.73513793945312,1232.214599609375,1630.0369873046875,1286.6387939453125,683.3165893554688,6886.330078125,94.1521987915039,10329.0478515625,102.32959747314453,73.14115905761719,1062.1005859375,593.8592529296875,278.591064453125,415.22283935546875,1704.6544189453125,201.2107391357422,165.53408813476562,41.0833854675293,570.136962890625,915.0154418945312,467.7733459472656,3819.539794921875,238.9391326904297
2019-01-04,150.74314880371094,370.07696533203125,1275.0389404296875,1337.7327880859375,617.260986328125,2241.926025390625,2530.4443359375,639.4181518554688,269.4530334472656,292.37823486328125,2846.681640625,499.2366027832031,146.19140625,1406.4024658203125,2486.733642578125,1933.425537109375,784.880126953125,405.11590576171875,1021.5946655273438,388.2249450683594,2552.349853515625,203.75320434570312,1639.7037353515625,358.1316223144531,232.847412109375,1503.75244140625,576.5541381835938,253.39918518066406,1244.883544921875,1587.8828125,1280.2286376953125,690.2609252929688,6915.53271484375,95.69514465332031,10000.9873046875,104.70100402832031,74.220947265625,1067.8350830078125,596.6303100585938,284.85955810546875,413.0329284667969,1683.928955078125,204.80291748046875,170.41885375976562,41.629737854003906,561.7653198242188,912.313232421875,473.8817138671875,3833.740478515625,238.16835021972656
2019-01-07,149.45852661132812,369.5927734375,1264.290283203125,1347.5306396484375,635.0436401367188,2179.896240234375,2508.391845703125,639.0890502929688,266.5294494628906,294.6450500488281,2865.916748046875,500.45355224609375,144.95513916015625,1430.957763671875,2447.184814453125,1907.151123046875,798.99755859375,409.1134338378906,1023.1385498046875,387.7809753417969,2526.807861328125,201.4828338623047,1642.694580078125,360.58319091796875,233.42755126953125,1514.38818359375,585.8429565429688,255.07125854492188,1243.5367431640625,1603.3563232421875,1276.3089599609375,694.0186767578125,7037.45849609375,97.56636047363281,9940.9873046875,106.24600219726562,75.18706512451172,1073.7640380859375,596.2345581054688,283.5675964355469,410.1765441894531,1702.815185546875,205.90452575683594,174.80519104003906,41.446197509765625,567.0440063476562,927.6420288085938,478.4864501953125,3845.6884765625,238.02154541015625
2019-01-08,151.63247680664062,366.7843933105469,1232.1431884765625,1352.5982666015625,648.4429321289062,2209.66064453125,2492.134521484375,642.669921875,263.8307800292969,298.5440368652344,2816.4619140625,500.06414794921875,144.21336364746094,1404.8135986328125,2458.51904296875,1927.756103515625,814.5266723632812,410.6777038574219,1014.6231689453125,389.40887451171875,2537.358154296875,199.50230407714844,1629.718505859375,372.7922668457031,235.58236694335938,1532.4541015625,584.4037475585938,258.6352844238281,1225.8802490234375,1583.1934814453125,1274.8328857421875,688.168212890625,7111.49365234375,96.4830322265625,10143.107421875,105.95854949951172,74.77030181884766,1073.666748046875,606.1808471679688,292.1808166503906,426.6007080078125,1698.9124755859375,206.0960693359375,179.39088439941406,41.94559860229492,568.9822387695312,929.70556640625,471.25042724609375,3835.454345703125,238.97584533691406
2019-01-09,147.5810546875,365.38018798828125,1249.794677734375,1353.3221435546875,667.5703735351562,2211.341552734375,2479.659423828125,638.2860717773438,254.91018676757812,303.3044128417969,2819.2880859375,496.6080322265625,143.81155395507812,1418.68017578125,2489.698974609375,1951.453125,813.260986328125,407.7447814941406,1021.2811889648438,390.6914367675781,2509.2958984375,198.72943115234375,1642.7406005859375,374.8515625,240.67938232421875,1555.76513671875,589.680419921875,255.86322021484375,1235.207275390625,1646.448486328125,1278.384033203125,690.9268798828125,7162.5400390625,96.22039794921875,10370.6162109375,104.4135513305664,74.86502838134766,1079.5958251953125,636.3167114257812,292.1808166503906,427.2671813964844,1692.9908447265625,203.65342712402344,182.48126220703125,40.90837478637695,572.1576538085938,936.3873901367188,479.144287109375,3738.44921875,241.50836181640625
2019-01-10,149.31031799316406,368.2369689941406,1267.544677734375,1347.8682861328125,660.7462158203125,2234.62841796875,2470.13134765625,635.5780029296875,251.57440185546875,305.84332275390625,2815.914794921875,499.6746826171875,144.02792358398438,1464.1318359375,2487.1162109375,1976.9439697265625,798.5593872070312,406.63677978515625,1017.2767333984375,401.2480163574219,2493.962158203125,197.08702087402344,1643.8450927734375,372.1548156738281,240.01637268066406,1520.9444580078125,592.8203125,254.5872039794922,1216.55322265625,1678.56787109375,1284.42529296875,697.490966796875,7065.7060546875,97.23807525634766,10522.0859375,102.9404067993164,74.12623596191406,1076.4368896484375,628.2012939453125,292.42010498046875,423.3158874511719,1694.4261474609375,205.13818359375,185.17286682128906,41.01082229614258,572.8587646484375,949.8984985351562,484.34417724609375,3739.37939453125,239.12266540527344
2019-01-11,149.70558166503906,365.23492431640625,1274.7430419921875,1354.9149169921875,663.9840087890625,2231.061279296875,2469.68896484375,635.5479736328125,252.84878540039062,303.8484802246094,2823.11669921875,496.7054138183594,143.56430053710938,1449.3988037109375,2475.39990234375,1972.279541015625,792.7664184570312,408.4617004394531,1018.9171142578125,401.1493835449219,2476.66357421875,198.8743438720703,1628.3839111328125,371.2232360839844,244.7819061279297,1471.6513671875,596.1345825195312,254.147216796875,1220.194091796875,1623.51904296875,1263.2117919921875,692.4490356445312,6997.74072265625,97.17242431640625,10389.7392578125,103.94645690917969,73.63367462158203,1067.251953125,631.9125366210938,289.74041748046875,423.1255187988281,1653.15478515625,202.98287963867188,179.73980712890625,40.481536865234375,576.694091796875,942.6270141601562,490.8283996582031,3692.370361328125,241.28814697265625
